DATA,Incid̻ncia,Rt
43914,4.087600616,1.306877955
43915,4.603967065,1.253390946
43916,9.551291207,1.21904922
43917,12.38747079,1.165480922
43918,17.53491705,1.13128954
43919,22.69332069,1.097776346
43920,30.07193624,1.068045086
43921,25.49351381,1.030469717
43922,29.0873605,1.024341075
43923,32.05901121,0.9871457887
43924,36.02638998,0.9673896333
43925,38.75955593,0.9611299142
43926,43.15321434,0.9580712994
43927,45.04838234,0.9447865005
43928,49.63476693,0.9375353911
43929,51.63117505,0.9112597752
43930,63.03667658,0.9218547366
43931,68.03833899,0.908336093
43932,72.24013339,0.9093182422
43933,74.81942905,0.9023882571
43934,77.75777915,0.896845145
43935,80.87509009,0.9148217293
43936,86.22081994,0.9253896675
43937,91.93459475,0.9280546724
43938,95.39400566,0.9540817835
43939,99.87664484,0.9442166601
43940,102.3996571,0.9416106071
43941,103.4264545,0.9284694842
43942,105.2506363,0.9064949125
43943,105.4726676,0.9037271726
43944,110.1076484,0.9077982739
43945,110.4899542,0.8576181417
43946,111.7303684,0.8528394081
43947,118.9941333,0.8307389797
43948,119.2612243,0.8056578153
43949,119.7545614,0.8291036636
43950,121.3446913,0.8066521148
43951,125.3589087,0.8165851634
43952,126.899546,0.841770208
43953,127.6125392,0.8662939941
43954,129.3903842,0.8974856633
43955,131.0702423,0.9122672135
43956,133.2339555,0.9141808289
43957,134.9911926,0.9209377577
43958,137.1542321,0.9016132061
43959,139.8513758,0.9120725081
43960,141.875302,0.9282208706
43961,142.5851956,0.9336545147
43962,143.2399873,0.9313637319
43963,144.9338445,0.9421107242
43964,145.7326204,0.9574785961
43965,146.4826441,0.9660411639
43966,147.8676602,0.9611316835
43967,148.605363,0.9739281956
43968,149.2677643,0.9802496532
43969,149.9825213,0.9891532541
43970,151.5679716,0.9865074544
43971,153.0841935,0.9934604952
43972,154.5738665,0.9853651607
43973,155.5657524,1.029021129
43974,156.2580905,1.029562848
43975,156.9310276,1.039396548
43976,157.9071609,1.06462062
43977,158.8268337,1.053678544
43978,159.9631329,1.042659879
43979,161.0502906,1.053998692
43980,161.7247358,1.049806269
43981,162.4083339,1.0347295
43982,163.6205438,1.022158333
43983,164.119622,1.035302447
43984,165.5457023,1.046237788
43985,166.4910665,1.02950631
43986,167.6088013,1.033600494
43987,168.5889241,1.007600888
43988,172.6910193,1.0283807
43989,172.3886023,1.000659969
43990,172.8638694,0.954302142
43991,173.4384797,0.9424890264
43992,174.1912417,0.9642083279
43993,174.302959,0.953245417
43994,175.0723326,0.9545878404
43995,175.807787,0.9736616498
43996,176.0456273,1.012462633
43997,176.4215802,1.058855332
43998,177.645439,1.0907091
43999,179.3405225,1.091194557
44000,180.4509866,1.103558674
44001,182.4276463,1.103398424
44002,184.026845,1.075041931
44003,185.6538625,1.05661812
44004,188.6794073,1.055871117
44005,192.2167863,1.037073904
44006,194.7138144,1.036585417
44007,196.189458,1.015089277
44008,198.4328393,1.011083891
44009,199.5712311,0.9986877529
44010,201.3892183,1.005932931
44011,202.6731812,0.9931902198
44012,203.2762197,0.996517472
44013,205.0870652,0.994406931
44014,206.4633361,0.9991215069
44015,206.9060352,0.9916516301
44016,208.7737987,1.011898747
44017,208.7737987,1.003803483
44018,208.7737987,0.9961204028
44025,208.7737987,0.9178194444
44026,224.6225834,0.9111734492
44032,231.9088394,0.889071561
44039,238.5123415,0.9326010424
44046,247.4098904,0.9628580752
44053,254.6320262,1.024472605
44060,265.3304887,1.003308537
44067,274.2548213,1.154616449
44074,283.7686036,1.128223586
44021,303.4378259,0.9770360174
44088,328.351654,1.125644628
44095,360.9908921,1.055246396
44102,387.5786285,1.073402838
44109,415.0782073,1.145454425
44175,447.7132857,0.9527146249
44123,509.4087006,1.188725883
44130,602.53,1.180376069
44115,479.205036,1.226957491
44154,578.6716569,1.007330958
44160,611.8129496,0.9183111218
44167,519.4280576,0.9092488841
44173,475.3417266,0.948551375
44182,489.7517986,0.9706232716
44185,507.3381295,0.9706362374
44192,481.1582734,1.095319496
44201,694.6151079,1.240446426
44208,1172.507194,1.118554065
44214,1471.877698,1.157812136
44222,1697.661871,0.9843003331
44229,1568.388489,0.7637410138
44236,985.9856115,0.6210158842
44243,472.1618705,0.6718352417
44250,240.8417266,0.683821097
44230,141.1510791,0.7335814448
44266,105,0.78